antibody,antibody_link,canonical_source_accessions,data_citation,dataset_id,eligibility_reason,influenza_challenge_eligibility,meta_variable_list,metadata_link,num_cells,num_observations,num_observed_genes,num_subjects,"number_of_timepoints median(min, max)",observed_timepoints,participant_count_interpretation,pathogen,platform,platform_detail,raw_data,raw_data_flag_interpretation,resource_revision,source_paper_citation,source_snapshot,source_snapshot_sha256,study_ID,study_type,tissue,transcriptomic_data_link,vaccine
no,Not applicable,"[""GSE228839""]","Chelysheva, I., Drury, R., O'Connor, D., et al. GEO. https://identifiers.org/geo/GSE228839 (2024)",HR:GSE228839,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;ID;study_ID;tissue;platform;title;timepoint_group;study_group;vaccine;sex;age,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228839,NA,170,24655,100,"2 (1, 3)","CT, CT+7, CT7, D0",Within-study author count; not independent subjects across studies.,SARS-CoV-2,RNA-seq,GPL24676; Illumina NovaSeq 6000 (Homo sapiens),no,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Drury RE, Camara S, Chelysheva I, Bibi S, et al. Multi-omics analysis reveals COVID-19 vaccine induced attenuation of inflammatory responses during breakthrough disease. Nat Commun. 2024 Apr 22;15(1):3402. PMID: 38649734.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE228839,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228839,ChAdOx1/MenACWY
no,Not applicable,"[""GSE276544""]","Grewe, I., Friedrich, M., Dieck, M., et al. GEO. https://identifiers.org/geo/GSE276544 (2025)",HR:GSE276544,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;ID;study_ID;tissue;platform;pathogen;batch;title;timepoint_group;vaccine,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276544,NA,305,30984,43,"7 (5, 8)","V1D0, V1D1, V1D3, V1D7, V2D0, V2D1, V2D3, V2D7",Within-study author count; not independent subjects across studies.,SARS-CoV-2,RNA-seq,GPL24676; Illumina NovaSeq 6000 (Homo sapiens),yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Grewe I, Friedrich M, Dieck ML, Spohn M, et al. MVA-based SARS-CoV-2 vaccine candidates encoding different spike protein conformations induce distinct early transcriptional responses which may impact subsequent adaptive immunity. Front Immunol. 2024;15:1500615. PMID: 39749328.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE276544,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276544, ChAdOx1/BNT162b2/MVA/mRNA-1273
no,Not applicable,"[""GSE209985""]","Huang, K., Chang, Y., Lee, J.M., et al. GEO. https://identifiers.org/geo/GSE209985 (2024)",HR:GSE209985,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;ID;study_ID;tissue;platform;pathogen;batch;title;timepoint;study_group;vaccine;vaccine_dose;sex;age;PreviousCOVID19;diabetes,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE209985,NA,188,40696,32,"6 (5, 6)","0.0, 1.0, 2.0, 7.0",Within-study author count; not independent subjects across studies.,SARS-CoV-2,RNA-seq,GPL24676; Illumina NovaSeq 6000 (Homo sapiens),yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Chang YS, Huang K, Lee JM, Vagts CL, et al. Altered transcriptomic immune responses of maintenance hemodialysis patients to the COVID-19 mRNA vaccine. Elife. 2024 Apr 24;13:e83641. PMID: 38656290; Chang YS, Lee JM, Huang K, Vagts CL, et al. Network Analysis of Dysregulated Immune Response to COVID-19 mRNA Vaccination in Hemodialysis Patients. Vaccines (Basel). 2024 Oct 7;12(10):1146. PMID: 39460313.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE209985,vaccine,PBMC,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE209985,BNT162b2
no,Not applicable,"[""GSE247401""]","Lennart, R., Leonie M., W., Leonie, M., et al. GEO. https://identifiers.org/geo/GSE247401 (2024)",HR:GSE247401,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;ID;study_ID;tissue;platform;pathogen;batch;title;timepoint;vaccine;sex,https://pmc.ncbi.nlm.nih.gov/articles/PMC10792461/ (Table S3),NA,50,29506,17,"2 (2, 4)","0.0, 1.0",Within-study author count; not independent subjects across studies.,SARS-CoV-2,RNA-seq,GPL24676; Illumina NovaSeq 6000 (Homo sapiens),yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Odak I, Riemann L, Sandrock I, Cossmann A, et al. Systems biology analysis reveals distinct molecular signatures associated with immune responsiveness to the BNT162b COVID-19 vaccine. EBioMedicine. 2024 Jan;99:104947. PMID: 38160529.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE247401,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247401,ChAdOx1/BNT162b2/mRNA-1273
no,Not applicable,"[""GSE265975""]","Lucchesi, S., Santoro, F., Pastore, G., et al. GEO. https://identifiers.org/geo/GSE265975 (2024)",HR:GSE265975,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;timepoint_group;study_group;vaccine,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE265975,NA,100,39368,29,"4 (1, 4)","0.0, 7.0, 21.0, 28.0",Within-study author count; not independent subjects across studies.,SARS-CoV-2,RNA-seq,GPL24676; Illumina NovaSeq 6000 (Homo sapiens),yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Lucchesi S, Montesi G, Polvere J, Fiorino F, et al. Transcriptomic analysis after SARS-CoV-2 mRNA vaccination reveals a specific gene signature in low-responder hemodialysis patients. Front Immunol. 2025;16:1508659. PMID: 40370459.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE265975,vaccine,PBMC,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE265975,BNT162b2
no,Not applicable,"[""GSE102012""]","Kazmin, D.A., Hagan, T., Cortese, M., et al. GEO. https://identifiers.org/geo/GSE102012 (2021)",HR:GSE102012,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;vaccine,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102012,NA,384,18319,50,"8 (4, 8)","0.0, 1.0, 3.0, 7.0, 21.0, 22.0, 24.0, 28.0",Within-study author count; not independent subjects across studies.,influenza,microarray,GPL13158; [HT_HG-U133_Plus_PM] Affymetrix HT HG-U133+ PM Array Plate,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Wimmers F, Donato M, Kuo A, Ashuach T, et al. The single-cell epigenomic and transcriptional landscape of immunity to influenza vaccination. Cell. 2021 Jul 22;184(15):3915-3935.e21. PMID: 34174187.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE102012,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102012,H5N1
no,Not applicable,"[""GSE217770""]","Aydillo, T., Gonzalez-Reiche, A.S., Stadlbauer, D., et al. GEO. https://identifiers.org/geo/GSE217770 (2022)",HR:GSE217770,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;vaccine;sex,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217770,NA,371,40129,53,"7 (7, 7)","0.0, 3.0, 7.0, 29.0, 85.0, 92.0, 113.0",Within-study author count; not independent subjects across studies.,influenza,RNA-seq,GPL24676; Illumina NovaSeq 6000 (Homo sapiens),yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Aydillo T, Gonzalez-Reiche AS, Stadlbauer D, Amper MA, et al. Transcriptome signatures preceding the induction of anti-stalk antibodies elicited after universal influenza vaccination. NPJ Vaccines. 2022 Dec 10;7(1):160. PMID: 36496417.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE217770,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217770,Influenza LAIV
yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC10697962/ (Source Data),"[""GSE230494""]","Thwaites, R.S. GEO. https://identifiers.org/geo/GSE230494 (2023)",HR:GSE230494,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;vaccine,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230494,NA,60,40223,39,"2 (1, 2)","0.0, 3.0",Within-study author count; not independent subjects across studies.,influenza,RNA-seq,GPL18573; Illumina NextSeq 500 (Homo sapiens),yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Thwaites RS, Uruchurtu ASS, Negri VA, Cole ME, et al. Early mucosal events promote distinct mucosal and systemic antibody responses to live attenuated influenza vaccine. Nat Commun. 2023 Dec 5;14(1):8053. PMID: 38052824.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE230494,vaccine,nasal swab,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230494,Influenza LAIV
no,Not applicable,"[""GSE52005""]","Cao, R.G., Obermoser, G., Suarez, N.M., et al. GEO. https://identifiers.org/geo/GSE52005 (2014)",HR:GSE52005,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;vaccine;sex;age;race,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52005,NA,140,20525,38,"4 (1, 4)","0.0, 1.0, 7.0, 30.0",Within-study author count; not independent subjects across studies.,influenza,microarray,GPL10558; llumina HumanHT-12 V4.0 expression beadchip,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Cao RG, Suarez NM, Obermoser G, Lopez SM, et al. Differences in antibody responses between trivalent inactivated influenza vaccine and live attenuated influenza vaccine correlate with the kinetics and magnitude of interferon signaling in children. J Infect Dis. 2014 Jul 15;210(2):224-33. PMID: 24495909.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE52005,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52005,Influenza LAIV/TIV
no,Not applicable,"[""GSE107990""]","Larbi, A., Poidinger, M., Visan, L. GEO. https://identifiers.org/geo/GSE107990 (2018)",HR:GSE107990,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;vaccine;sex;age;ethnicity,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107990,NA,671,20518,172,"4 (2, 4)","0.0, 2.0, 7.0, 28.0",Within-study author count; not independent subjects across studies.,influenza,microarray,GPL10558; llumina HumanHT-12 V4.0 expression beadchip,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Narang V, Lu Y, Tan C, Camous XFN, et al. Influenza Vaccine-Induced Antibody Responses Are Not Impaired by Frailty in the Community-Dwelling Elderly With Natural Influenza Exposure. Front Immunol. 2018;9:2465. PMID: 30405641; Monaco G, Lee B, Xu W, Mustafah S, et al. RNA-Seq Signatures Normalized by mRNA Abundance Allow Absolute Deconvolution of Human Immune Cell Types. Cell Rep. 2019 Feb 5;26(6):1627-1640.e7. PMID: 30726743; Carre C, Wong G, Narang V, Tan C, et al. Endoplasmic reticulum stress response and bile acid signatures associate with multi-strain seroresponsiveness during elderly influenza vaccination. iScience. 2021 Sep 24;24(9):102970. PMID: 34471863.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE107990,vaccine,PBMC,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107990,Influenza TIV
no,Not applicable,"[""GSE281864""]","Rinchai, D., Deola, S., Gentilcore, G., et al. GEO. https://identifiers.org/geo/GSE281864 (2025)",HR:GSE281864,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;study_ID;tissue;platform;pathogen;title;timepoint;vaccine;vaccine_dose,https://www.biorxiv.org/content/10.1101/2025.01.09.631990v1.supplementary-material (Table S1),NA,193,37507,17,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10,14 ",Within-study author count; not independent subjects across studies.,SARS-CoV-2,RNA-seq,GPL20301; Illumina HiSeq 4000 (Homo sapiens),yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Rinchai D, Deola S, Kabeer BSA, Gentilcore G, et al. Temporal Dynamics of Transcriptional Responses to Repeated mRNA Vaccination: Insights from Third Dose Profiling. bioRxiv. 2025. doi: 10.1101/2025.01.09.631990. Preprint.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE281864,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281864,BNT162b2
no,Not applicable,"[""E-MTAB-10026""]","Morgan, M. ArrayExpress. https://identifiers.org/arrayexpress:E-MTAB-10026 (2021)",HR:EMTAB10026,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,List in the h5ad obs,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-10026,647366,143,NA,130,NA,NA,Within-study author count; not independent subjects across studies.,SARS-CoV-2,scRNA-seq,Illumina NovaSeq 6000 (Homo sapiens),no,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Stephenson, E., Reynolds, G., Botting, R.A. et al. Single-cell multi-omics analysis of the immune response in COVID-19. Nat Med 27, 904–916 (2021). https://doi.org/10.1038/s41591-021-01329-2",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,EMTAB10026,inoculation,PBMC,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-10026,
no,Not applicable,[],"Stephenson, E., Macdonald-Dunlop, E., Dratva, L.M., Lindeboom, R.G., Tuong, Z.K., Tun, W.M., Kretschmer, L., Buang, N.B., Ballereau, S., Cabantaus, M. and Peñalver, A., 2025. Temporal multi-omics analysis of COVID-19 in end-stage kidney disease. Cell Genomics, 5(8).",HR:eskd_covid19,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,List in the h5ad obs,https://www.covid19cellatlas.org/index.patient.html,588389,187,NA,61,NA,NA,Within-study author count; not independent subjects across studies.,SARS-CoV-2,scRNA-seq,Illumina NovaSeq 6000 (Homo sapiens),no,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Stephenson, E., Macdonald-Dunlop, E., Dratva, L.M., Lindeboom, R.G., Tuong, Z.K., Tun, W.M., Kretschmer, L., Buang, N.B., Ballereau, S., Cabantaus, M. and Peñalver, A., 2025. Temporal multi-omics analysis of COVID-19 in end-stage kidney disease. Cell Genomics, 5(8).",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,eskd_covid19,mixed exposure,nasal swab/PBMC,https://www.covid19cellatlas.org/index.patient.html,
no,https://data.mendeley.com/datasets/j7pbc5ytgd/1 (Supplementary Data 2. Antibody.xlsx),"[""GSE201534""]","Lee, H. GEO. https://identifiers.org/geo/GSE201534 (2022)",HR:GSE201534,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,List in the h5ad obs,https://data.mendeley.com/datasets/j7pbc5ytgd/1 (Supplementary Data 1. individuals.xlsx),87160,12,NA,6,NA,NA,Within-study author count; not independent subjects across studies.,SARS-CoV-2,scRNA-seq,GPL24676; Illumina NovaSeq 6000 (Homo sapiens),no,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Lee HK, Go J, Sung H, Kim SW, et al. Heterologous ChAdOx1-BNT162b2 vaccination in Korean cohort induces robust immune and antibody responses that includes Omicron. iScience. 2022 Jun 17;25(6):104473. PMID: 35637788; Lee HK, Hoechstetter MA, Buchner M, Pham TT, et al. Analysis of immune responses in patients with CLL after heterologous COVID-19 vaccination. Blood Adv. 2023 May 23;7(10):2214-2227. PMID: 36630562; Lee HK, Cho G, Huh JW, Furth PA, et al. Rare germline JAK/STAT variants in a Korean cohort amplify innate immune responses to vaccination. iScience. 2025 Dec 19;28(12):114110. PMID: 41467183.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE201534,vaccine,PBMC,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201534,ChAdOx1/BNT162b2
no,Not applicable,"[""GSE247917""]",GEO. https://identifiers.org/geo/GSE247917 (2023),HR:GSE247917,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,List in the h5ad obs,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247917,195489,54,NA,14,NA,NA,Within-study author count; not independent subjects across studies.,SARS-CoV-2,scRNA-seq,GPL18573; Illumina NextSeq 500 (Homo sapiens)/GPL24676; Illumina NovaSeq 6000 (Homo sapiens),no,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Ivanova, E.N., Shwetar, J., Devlin, J.C., Buus, T.B., Gray-Gaillard, S., Koide, A., Cornelius, A., Samanovic, M.I., Herrera, A., Mimitou, E.P. and Zhang, C., 2023. mRNA COVID-19 vaccine elicits potent adaptive immune response without the acute inflammation of SARS-CoV-2 infection. Iscience, 26(12).",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE247917,vaccine,PBMC,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247917,BNT162b2
no,Not applicable,"[""GSE195673""]","Kim, W., Zhou, J.Q., Horvath, S.C., Schmitz, A.J., Sturtz, A.J., Lei, T., Liu, Z., Kalaidina, E., Thapa, M., Alsoussi, W.B. and Haile, A., 2022. Germinal centre-driven maturation of B cell response to mRNA vaccination. Nature, 604(7904), pp.141-145.",HR:GSE195673,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,List in the h5ad obs,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE195673,383635,56,NA,8,NA,NA,Within-study author count; not independent subjects across studies.,SARS-CoV-2,scRNA-seq,GPL24676; Illumina NovaSeq 6000 (Homo sapiens),no,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Kim, W., Zhou, J.Q., Horvath, S.C., Schmitz, A.J., Sturtz, A.J., Lei, T., Liu, Z., Kalaidina, E., Thapa, M., Alsoussi, W.B. and Haile, A., 2022. Germinal centre-driven maturation of B cell response to mRNA vaccination. Nature, 604(7904), pp.141-145.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE195673,vaccine,PBMC/Lymph Node,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE195673,BNT162b2
